Project Name,AI Category,ML Model Used,Location,Year of Beginning,Year Launched,Year of Failure / Success,Outcome,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,Scope,Compliance Level,Daily Data Volume (GB),Original_Cost_Likert_1to7,Original_Estimated_Cost_USD,Original Risk score,New_Cost_Likert_1to7,New_Estimated_Cost_USD,New Risk score,Risk Change,,
Google Image Search (bias),AI Data Annotation & Labeling,CNN + Relevance Ranking,USA,2013,2015,2015,Failed,Auto,Assistive,Image,Unstructured,Unstable,High,54,Multi-site-National,Low,250,3,19307000,3.99,3,7197000,3.6,-0.39,,
Japan Fifth Gen Project,AI General AI Application,Prolog Logic Programming,Japan,1982,1982,1992,Failed,Auto,Automation,Text,Structured,Stable,High,92,Proof of Concept,Very-High,0.5,2,3376000,3.21,2,2061000,2.3,-0.91,,
GE Predix Platform,AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,USA,2013,2015,2018,Failed,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Enterprise,Moderate,1,2,3728000,2.57,2,2276000,2.05,-0.52,,
iTutorGroup Hiring Algo,AI Recruitment & HR,ML Resume Classifier,China/USA,2018,2018,2022,Failed,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,Proof of Concept,High,0.1,2,1389000,3.32,2,1509000,2.48,-0.84,,
Sports Illustrated AI Articles,AI News & Media,GPT-style LLM,USA,2023,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,51,Proof of Concept,Moderate,0.5,2,2430000,3.99,2,1749000,3.69,-0.3,,
COMPAS Recidivism Algorithm,AI Legal Tech,Weighted Questionnaire Scoring,USA,2010,2012,2012,Partial,Auto,Predictive,Numeric,Structured,Semi-Stable,Low,54,Enterprise,Moderate,0.5,2,1483000,2.4,2,2061000,2.27,-0.13,,
Allegheny Child Welfare Tool,AI Social Services & Child Protection,Random Forest or Logistic Regression,USA,2014,2016,2016,Partial,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Enterprise,Very-High,1,3,7197000,2.57,2,4394000,2.05,-0.52,,
Google Photos Tagging (Gorillas),AI Security & Surveillance,CNN Image Recognition,USA,2013,2015,2015,Failed,Auto,Descriptive,Image,Unstructured,Unstable,High,54,Multi-site-National,Low,250,3,13895000,3.69,3,7197000,3.31,-0.38,,
Microsoft Tay (duplicate),AI Chatbots & Conversational AI,Neural Conversational Model,USA,2015,2016,2016,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Department,Moderate,0.2,2,2132000,3.63,2,2132000,3.13,-0.5,,
Facebook Negotiation Chatbots,AI Negotiation Agents,RL-trained Dialogue System,USA,2017,2017,2017,Failed,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,Proof of Concept,Moderate,0.2,2,2962000,3.77,2,1534000,3.22,-0.55,,
IBM Watson Retail Recs.,AI Recommendation & Personalization,Recommendation Engine,USA,2015,2016,2018,Failed,Auto,Predictive,Numeric+Text,Semi-Structured,Semi-Stable,Medium,44,Department,Moderate,1.2,2,2151000,3.12,2,2151000,2.46,-0.66,,
Facebook M (Virtual Asst.),AI Assistants,Intent Detection + Human-in-Loop,USA,2014,2015,2018,Failed,Direct,Assistive,Text,Unstructured,Stable,Medium,54,Department,Moderate,0.2,2,2962000,2.37,2,1301000,2.3,-0.07,,
Microsoft Cortana,AI Voice Assistants & Speech AI,ASR + NLP + Bing Integration,USA,2013,2014,2021,Failed,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Department,Low,20,2,4116000,3.31,2,2962000,3.09,-0.22,,
Apple Face ID,AI Security & Surveillance,DNN for Face Recognition,USA,2015,2017,2017,Successful,Auto,Automation,Image,Structured,Stable,High,56,Multi-site-National,Very-High,250,4,37276000,3.21,3,11788000,2.4,-0.81,,
Amazon Prime Air,AI Drone & Aerial Delivery,CV + Path-Planning ML,USA,2013,2013,2013,Successful,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Proof of Concept,Low,350,3,17783000,4.69,2,2683000,3.6,-1.09,,
Lowe's Virtual Assistant,AI Mapping & Navigation,FAQ NLP Engine,USA,2014,2016,2018,Failed,Auto,Assistive,Text,Unstructured,Unstable,Low,44,Enterprise,Moderate,0.1,2,1931000,3.27,2,1828000,2.64,-0.63,,
Bank of America 'Erica',AI Assistants,NLP + Predictive Analytics,USA,2016,2018,2018,Successful,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,52,Enterprise,High,1.2,2,2151000,2.39,2,3246000,2.25,-0.14,,
Samsung Bixby,AI Voice Assistants & Speech AI,ASR + Deep Learning NLU,South Korea,2016,2017,2017,Successful,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Department,Low,20,2,4116000,3.31,2,2962000,3.09,-0.22,,
Spotify Recommender Engine,AI Recommendation & Personalization,Deep Audio Embedding + CF,Sweden,2012,2015,2015,Successful,Auto,Assistive,Audio+Numeric,Structured,Stable,High,51,Enterprise,Moderate,52.5,2,3691000,2.57,2,4008000,2.25,-0.32,,
IBM Watson Assistant,AI Chatbots & Conversational AI,Intent Classifier + Entity Extractor,USA,2016,2018,2018,Successful,Auto,Assistive,Text,Unstructured,Stable,Medium,54,Enterprise,Moderate,0.2,2,1534000,2.75,2,1808000,2.53,-0.22,,
Adobe Sensei Auto-Tagging,AI Data Annotation & Labeling,CNN Object Recognition,USA,2016,2017,2017,Successful,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,Department,Low,100,2,3728000,2.89,2,2913000,2.44,-0.45,,
Amazon Echo Look,AI Assistants,CV for Outfit Analysis,USA,2016,2017,2020,Failed,Auto,Assistive,Image,Unstructured,Unstable,Medium,44,Department,Low,100,3,7197000,3.63,2,3728000,3.13,-0.5,,
Twitter Content Mod. AI,AI Security & Surveillance,Toxic Content Classifier,USA,2016,2016,2023,Failed,Indirect,Assistive,Text,Unstructured,Unstable,Medium,51,Proof of Concept,Moderate,0.2,2,2513000,3.44,2,1301000,2.81,-0.63,,
General Electric (GE),AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,USA,2015,2016,2016,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,33,Department,High,1,2,2683000,2.13,2,2276000,1.87,-0.26,,
BMW Manufacturing AI,AI Security & Surveillance,CV Defect Detection,Germany,2018,2019,2019,Successful,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,33,Department,Low,100,4,22758000,3.59,2,3728000,3.19,-0.4,,
Siemens Supply Chain AI,AI Supply Chain & Demand Forecasting,Time-Series Forecasting,Germany,2017,2018,2018,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,Department,Moderate,1,2,2683000,2.57,2,1638000,2.25,-0.32,,
Airbus AI Design,AI Generative AI,Generative Design Algorithms,France,2015,2016,2016,Successful,Indirect,Assistive,Numeric,Structured,Stable,High,33,Department,Moderate,1,2,2201000,2.2,2,1867000,1.87,-0.33,,
Caterpillar,AI General AI Application,Spare Parts Forecasting ML,USA,2016,2017,2017,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,33,Department,Moderate,2.5,2,1931000,2.13,2,1638000,1.87,-0.26,,
Ford,AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,USA,2017,2018,2018,Successful,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,Department,Moderate,1,2,2536000,2.64,2,2151000,2.35,-0.29,,
Boeing,AI General AI Application,Generative Design Optimization,USA,2016,2017,2017,Successful,Indirect,Assistive,Numeric,Structured,Stable,High,33,Department,Moderate,1.2,2,2201000,2.2,2,1867000,1.87,-0.33,,
EthonAI,AI Manufacturing & Quality Control,Defect Detection + Process Optimization ML,Switzerland,2021,2021,2021,Successful,Indirect,Automation,Image+Numeric,Unstructured,Semi-Stable,Medium,54,Proof of Concept,Moderate,2.5,3,17783000,3.47,2,3162000,2.72,-0.75,,
Nanotronics,AI Manufacturing & Quality Control,Computer Vision for Quality Control,USA,2015,2016,2016,Partial,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,Department,Low,101,4,22758000,3.59,2,3162000,2.91,-0.68,,
Redfin,AI Real Estate & Property Tech,Real Estate Recommender + Pricing ML,USA,2004,2006,2006,Successful,Auto,Assistive,Numeric,Structured,Stable,Medium,53,Enterprise,Moderate,100,2,1179000,2.03,2,2276000,1.87,-0.16,,
Opendoor,AI General AI Application,Home Price Optimization ML,USA,2014,2014,2014,Successful,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Proof of Concept,Moderate,1,2,1638000,3.2,2,1509000,2.46,-0.74,,
Skyline AI,AI Real Estate & Property Tech,Investment Property Prediction ML,USA,2017,2017,2017,Successful,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,52,Proof of Concept,High,1,2,1638000,2.76,2,1638000,2.25,-0.51,,
MagicBricks,AI Real Estate & Property Tech,PropWorth + Recommender System,India,2006,2006,2006,Successful,Auto,Assistive,Numeric+Text,Structured,Stable,Medium,53,Proof of Concept,High,1,1,802000,2.15,2,1681000,2.27,0.12,,
REX Real Estate,AI Real Estate & Property Tech,Buyer/Seller Matchmaking ML,USA,2015,2022,2022,Partial,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,53,Enterprise,Moderate,1.2,2,1638000,2.47,2,2276000,2.05,-0.42,,
Neara,AI General AI Application,Risk Simulation ML + 3D Modeling,Australia / USA,2020,2021,2021,Successful,Indirect,Predictive,Geospatial,Structured,Stable,High,22,Multi-site-National,Low,1,3,10000000,2.97,2,4394000,2.54,-0.43,,
Avangrid,AI Healthcare,Outage Risk Prediction ML,USA,2022,2023,2023,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Department,Very-High,100,3,5179000,2.57,2,3162000,2.05,-0.52,,
AES Corporation,AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,USA,2018,2019,2019,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,22,Department,Moderate,1,2,1931000,2.13,2,1638000,1.87,-0.26,,
Verdigris Technologies,AI Energy Management,Energy Sensor Analytics ML,USA,2015,2016,2016,Successful,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,54,Department,Moderate,1,2,3728000,2.43,2,1638000,2.07,-0.36,,
Enbridge,AI Energy Management,Anomaly Detection on Pipeline Sensors,Canada,2016,2017,2017,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,48,Department,Moderate,1,2,2683000,2.57,2,1638000,2.05,-0.52,,
Vistra Corp.,AI Energy Management,Power Plant Optimization ML,USA,2019,2020,2020,Partial,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Department,Moderate,1,2,3728000,2.43,2,1638000,2.07,-0.36,,
Leap,AI Energy Management,Virtual Power Plant Control ML,USA,2020,2021,2021,Partial,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Department,Moderate,1,3,5179000,2.87,2,1638000,2.34,-0.53,,
Duolingo,AI Recommendation & Personalization,LSTM Knowledge Prediction (Birdbrain),USA,2011,2012,2012,Successful,Auto,Assistive,Numeric,Structured,Stable,Medium,61,Department,Moderate,1,1,848000,2.03,2,1638000,1.87,-0.16,,
Content Technologies Inc. (CTI),AI Education Technology,NLG-based Textbook Generator,USA,2013,2013,2018,Partial,Auto,Automation,Text,Unstructured,Unstable,Medium,51,Proof of Concept,Moderate,1,2,4116000,4.21,2,1534000,3.32,-0.89,,
Squirrel AI,AI Education Technology,Adaptive Learning ML,China,2014,2014,2014,Successful,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Proof of Concept,Moderate,0.2,1,848000,2.47,2,1179000,2.05,-0.42,,
Gradescope,AI Education Technology,OCR + Clustering for Grading,USA,2014,2014,2014,Successful,Direct,Assistive,Image,Unstructured,Unstable,Medium,61,Proof of Concept,Low,1,3,13895000,3.25,2,2096000,2.62,-0.63,,
AltSchool,AI Recommendation & Personalization,Analytics + ML for Personalization,USA,2013,2013,2019,Partial,Indirect,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Proof of Concept,Moderate,100,2,1389000,2.28,2,1179000,1.87,-0.41,,
Knewton,AI Recommendation & Personalization,Learning Recommender System,USA,2008,2011,2019,Partial,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Enterprise,Moderate,1,2,1638000,2.47,2,2276000,2.05,-0.42,,
Jill Watson (Georgia Tech),AI Education Technology,Watson NLP Q&A Model,USA,2016,2016,2016,Partial,Indirect,Assistive,Text,Unstructured,Stable,Medium,61,Proof of Concept,Moderate,1,2,1301000,2.56,1,937000,2.52,-0.04,,
IBM Watson Education,AI Recommendation & Personalization,Analytics on Student Data,USA,2014,2015,2018,Partial,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,54,Department,Moderate,0.2,2,3728000,2.43,2,1638000,2.07,-0.36,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
