Project Name,AI Description,AI Category,ML Model Used,ML Model Description,Primary Function,Failure Cause / Challenge,ROI / Financial Impact,Location,Year of Beginning,Year Launched,Year of Failure / Success,Outcome,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Scope,Compliance Level,Daily Data Volume (GB),,,,,,,,
Apple Maps (2012),AI mapping platform for mobile,AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Inaccurate location data,Public apology at launch,USA,2010,2012,2012,Successful,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",Enterprise,Low,40,,,,,,,,
JPMorgan COIN,AI to review legal contracts,AI Legal Tech,NLP Document Parsing,"COIN is an AI-driven platform developed by JPMorgan to parse and analyze legal contracts using Natural Language Processing (NLP). The system extracts key information from documents, reducing the time required for reviewing contracts and identifying critical terms or clauses.",Finance AI,No failure recorded,360k hours saved annually,USA,2016,2017,2017,Successful,Direct,Automation,Text,Unstructured,Stable,Medium,52,Finance and Insurance,Department,High,0.2,,,,,,,,
Google Flu Trends,AI predicting flu trends from searches,AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Overestimated flu spread,Discontinued post-inaccuracy,USA,2008,2008,2013,Failed,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Proof of Concept,Very-High,0.5,,,,,,,,
Clearview AI,AI facial recognition database,AI Security & Surveillance,CNN Face Embedding + Search,"Clearview AI utilizes Convolutional Neural Networks (CNNs) to generate face embeddings and perform facial recognition on images. The model compares facial features against a large database of public images, enabling identification and verification in security and law enforcement applications.",Security AI,Unlawful data scraping,Bans and lawsuits,USA,2017,2017,2020,Partial,Direct,Assistive,Image,Unstructured,Unstable,High,56,Administrative and Support and Waste Management and Remediation Services,Proof of Concept,Very-High,250,,,,,,,,
Facebook Trending Algorithm,AI curating trending news,AI News & Media,Topic Spike Detection,"Facebook’s trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Spread of fake news,Feature removed,USA,2013,2014,2018,Failed,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Department,Moderate,0.5,,,,,,,,
Tesla Autopilot,AI semi-autonomous driving assistant,AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Safety concerns and crashes,Regulatory scrutiny ongoing,USA,2014,2015,2015,Successful,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Department,Very-High,4000,,,,,,,,
NYC MyCity Chatbot (Ed),AI chatbot for small business help,AI Chatbots & Conversational AI,GPT-based Chatbot,"This AI chatbot is based on OpenAI’s GPT model, fine-tuned to answer questions specific to the city of New York. It assists local businesses, residents, and visitors by providing information and recommendations based on the city’s services, events, and policies.",City AI,Wrong/illegal chatbot advice,Chatbot shut down,USA,2023,2023,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,92,Public Administration,Proof of Concept,Very-High,0.5,,,,,,,,
Air Canada Chatbot,AI chatbot for flight services,AI Chatbots & Conversational AI,FAQ-based NLP Model,"Air Canada's chatbot is powered by an FAQ-based NLP model that is designed to answer common questions about flights, booking, and customer service. The system processes natural language queries and retrieves the most relevant information from a predefined set of frequently asked questions.",Customer Service AI,False refund policy response,Company lost court case,Canada,2019,2020,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",Department,Moderate,0.2,,,,,,,,
ChatGPT Legal Brief,AI used in legal case filing,AI Legal Tech,GPT-3.5,"ChatGPT’s legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Legal AI,Fake citations in court brief,Lawyers fined $5K,USA,2023,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",Proof of Concept,Moderate,0.5,,,,,,,,
Oracle AI Recruitment Tool,AI for resume screening in Oracle HR software,AI Recruitment & HR,Resume Screening ML,"Oracle’s recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Bias and legal compliance,Still offered under compliance laws,USA,2018,2018,2018,Successful,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Proof of Concept,High,0.2,,,,,,,,
GM Cruise Robotaxi,AI-powered autonomous robotaxi system,AI Autonomous Vehicles & Mobility,Deep CNN + Reinforcement Learning,"GM Cruise Robotaxi utilizes deep convolutional neural networks (CNNs) for visual perception and reinforcement learning (RL) for navigation. The system learns to navigate complex environments and improve its driving policies through trial and error, resulting in safer autonomous driving.",Automotive AI,Safety incident suspensions,Service paused; public trust loss,USA,2016,2022,2023,Failed,Auto,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Multi-site-National,Very-High,4000,,,,,,,,
Forward (AI CarePods),AI-driven health pods for patient self-diagnosis,AI Healthcare,Embedded Diagnostic ML,"Forward uses an embedded diagnostic machine learning model to analyze real-time patient data from health pods. The system provides immediate diagnostics, suggesting potential health issues and offering personalized recommendations based on the data gathered during a patient's self-assessment.",Healthcare AI,Failed tech and patient safety,"Company closed pods, major losses",USA,2017,2023,2024,Failed,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Health Care and Social Assistance,Enterprise,Very-High,1,,,,,,,,
LAUSD 'Ed' Chatbot,AI chatbot for LA school community engagement,AI Chatbots & Conversational AI,LLM Trained on School Data,"The LAUSD Ed Chatbot is based on a large language model (LLM) that is fine-tuned on school-specific data. It assists students, parents, and staff by providing information about school schedules, events, and educational resources. The model understands the specific needs of the school community, improving engagement.",Education AI,"Vendor failure, shutdown",$3M project halted after 3 months,USA,2022,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Semi-Stable,Medium,61,Educational Services,Department,Moderate,0.2,,,,,,,,
Voiceverse NFT (15.ai),AI-generated voice NFTs using TTS models,AI Voice Assistants & Speech AI,Neural TTS Model,"Voiceverse NFT leverages a neural Text-to-Speech (TTS) model to generate high-quality synthetic voices for NFTs. It converts written text into expressive, human-like speech, which is then incorporated into digital content, allowing users to create personalized voice tokens for various applications.",Voice AI,Voice plagiarism controversy,"Backlash, actors quit platform",USA,2021,2022,2022,Failed,Auto,Automation,Audio,Unstructured,Semi-Stable,Medium,51,Information,Department,Low,20,,,,,,,,
Stability AI (Stable Diffusion),AI image generator for creative design (Stable Diffusion),AI Generative AI,Latent Diffusion Model,"Stability AI’s Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,"Leadership exit, cost overrun","Layoffs, poor monetization",UK,2022,2022,2022,Successful,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Proof of Concept,Low,250,,,,,,,,
Innodata 'GoldenGate',AI platform for document data conversion,AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Low adoption by enterprise clients,"Underperformance, product sidelined",USA,2018,2019,2021,Failed,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Department,Moderate,0.2,,,,,,,,
Evolv Express Scanner,AI weapons detection in school/public spaces,AI Security & Surveillance,Sensor Fusion + Computer Vision,"Evolv Express Scanner integrates sensor fusion with computer vision to detect weapons and prohibited items in public spaces, such as schools and stadiums. The system uses multiple sensors, including cameras and metal detectors, to create a composite understanding of the environment and identify potential threats.",Security AI,Missed threats and false alarms,Negative feedback from schools,USA,2013,2019,2019,Successful,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Enterprise,Moderate,1,,,,,,,,
Oddity AI (Beauty Matching),AI-powered cosmetics product matcher,AI Recommendation & Personalization,CV for Skin Tone Analysis,"Oddity AI uses computer vision (CV) to analyze skin tones and recommend beauty products based on user preferences. The system is trained on a diverse dataset to ensure accurate matching, taking into account various skin tones, textures, and cosmetic needs.",Retail AI,Exaggerated AI capabilities,"Investor lawsuit, market hit",Israel/USA,2018,2019,2024,Partial,Auto,Prescriptive,Image,Unstructured,Unstable,Medium,44,Retail Trade,Multi-site-National,Low,100,,,,,,,,
Telus AI Data Solutions,AI annotation service provider under performance pressure,AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,"CEO exit, revenue drop","Stock down, class action lawsuit",Canada,2020,2021,2024,Partial,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Department,Moderate,0.2,,,,,,,,
Apple Siri Assistant,AI voice assistant for Apple devices,AI Voice Assistants & Speech AI,DNN ASR + Rule-based NLP,"Siri Assistant uses a combination of Deep Neural Networks (DNN) for Automatic Speech Recognition (ASR) and rule-based natural language processing (NLP) to understand and process voice commands. The system interprets user queries and provides relevant responses, continually improving through machine learning algorithms.",Consumer AI,Lack of evolution vs. rivals,"Still widely used, mixed views",USA,2010,2011,2011,Successful,Auto,Assistive,Audio,Unstructured,Stable,Medium,44,Retail Trade,Department,Low,20,,,,,,,,
Amazon Alexa (Election Q&A),AI voice assistant answering election questions,AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Consumer AI,Gave wrong election info,Misinformation complaints,USA,2014,2014,2022,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,Proof of Concept,Moderate,0.2,,,,,,,,
Uber Self-Driving Car Crash,AI responsible for 2018 fatal crash,AI General AI Application,CNN + Sensor Fusion,"This AI model is similar to the one used for Uber's self-driving cars, utilizing CNNs for object detection and sensor fusion techniques to combine data from cameras and sensors. The model helps the vehicle understand and navigate its environment, though the fatal crash incident highlighted the need for more robust safety measures.",Automotive AI,Sensor failure in pedestrian crash,"Legal fallout, operations halted",USA,2015,2016,2018,Failed,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Department,Very-High,250,,,,,,,,
Google Image Search (bias),AI image labeling with bias issues,AI Data Annotation & Labeling,CNN + Relevance Ranking,"Google’s image search algorithm uses CNNs for image recognition and relevance ranking for accurate search results. The model ranks images based on relevance to the search query, though it has faced criticism for biases in labeling and search results. The model is continually refined to reduce bias in image classifications.",Computer Vision AI,Offensive labeling errors,"Public backlash, label removed",USA,2013,2015,2015,Failed,Auto,Assistive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",Multi-site-National,Low,250,,,,,,,,
Japan Fifth Gen Project,AI government-led 5th-gen R&D,AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Government AI,Overpromise and no ROI,No commercial value; ended program,Japan,1982,1982,1992,Failed,Auto,Automation,Text,Structured,Stable,High,92,Public Administration,Proof of Concept,Very-High,0.5,,,,,,,,
GE Predix Platform,AI-powered industrial analytics platform,AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Customer onboarding delays,Lost billions; reduced scale,USA,2013,2015,2018,Failed,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Enterprise,Moderate,1,,,,,,,,
iTutorGroup Hiring Algo,AI resume screener that rejected older applicants,AI Recruitment & HR,ML Resume Classifier,"The iTutorGroup hiring algorithm uses machine learning for resume classification. The model is trained to screen resumes and rank candidates based on skills, experience, and job relevance. However, the algorithm has faced criticism for age discrimination, as it was found to reject older applicants more frequently than younger ones.",HR AI,Age discrimination in hiring,"Lawsuit settled, system replaced",China/USA,2018,2018,2022,Failed,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,"Professional, Scientific, and Technical Services",Proof of Concept,High,0.1,,,,,,,,
Sports Illustrated AI Articles,AI content generation for news publishing,AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Media AI,Fake author and poor writing,"Scandal, articles retracted",USA,2023,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Proof of Concept,Moderate,0.5,,,,,,,,
COMPAS Recidivism Algorithm,AI risk prediction tool for courts,AI Legal Tech,Weighted Questionnaire Scoring,"The COMPAS recidivism algorithm uses a weighted questionnaire scoring system to predict the likelihood of a criminal reoffending. The model analyzes past criminal history, demographic data, and social factors to assess the risk of recidivism. However, the algorithm has been criticized for racial bias and lack of transparency in its scoring methodology.",Legal AI,Racial bias in recidivism score,"Legal battles, partial discontinuation",USA,2010,2012,2012,Partial,Auto,Predictive,Numeric,Structured,Semi-Stable,Low,54,"Professional, Scientific, and Technical Services",Enterprise,Moderate,0.5,,,,,,,,
Allegheny Child Welfare Tool,AI flagging tool for child protection services,AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Bias against vulnerable families,"Still running, under heavy review",USA,2014,2016,2016,Partial,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Enterprise,Very-High,1,,,,,,,,
Google Photos Tagging (Gorillas),AI image recognition in Google Photos auto-tagging feature,AI Security & Surveillance,CNN Image Recognition,"This system uses Convolutional Neural Networks (CNN) to analyze and classify images. The model identifies patterns and features in visual data, allowing it to classify objects and people accurately. It is often used in applications like image recognition for photo tagging and medical imaging.",Computer Vision AI,Mislabeling Black people,"Feature corrected, reputation recovered",USA,2013,2015,2015,Failed,Auto,Descriptive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",Multi-site-National,Low,250,,,,,,,,
Microsoft Tay (duplicate),AI Twitter chatbot from Microsoft,AI Chatbots & Conversational AI,Neural Conversational Model,"This model uses Recurrent Neural Networks (RNN) and other techniques to build conversational agents capable of engaging in natural, flowing dialogues. Trained on a dataset of conversations, it allows the system to predict contextually appropriate responses, enabling a more human-like conversational experience in chatbots.",Social AI,Repeat of earlier failure,Same failure repeated,USA,2015,2016,2016,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Department,Moderate,0.2,,,,,,,,
Facebook Negotiation Chatbots,AI agents trained to negotiate,AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Misunderstood AI behavior,Experiment ended quietly,USA,2017,2017,2017,Failed,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Proof of Concept,Moderate,0.2,,,,,,,,
IBM Watson Retail Recs.,AI-powered retail recommendation engine,AI Recommendation & Personalization,Recommendation Engine,"This model applies collaborative filtering (CF) to build personalized recommendation systems. It uses user behavior and preferences to suggest products, services, or content that may interest an individual, improving user engagement and satisfaction. It's widely used in e-commerce, media streaming, and social networks for tailored content delivery.",Retail AI,Low relevance recs,Retailers dropped project,USA,2015,2016,2018,Failed,Auto,Predictive,Numeric+Text,Semi-Structured,Semi-Stable,Medium,44,Retail Trade,Department,Moderate,1.2,,,,,,,,
Facebook M (Virtual Asst.),AI assistant with human support,AI Assistants,Intent Detection + Human-in-Loop,"This system uses Natural Language Processing (NLP) for intent detection, identifying the user's goal behind a query. The model is supplemented with human-in-the-loop processes, where human feedback continuously refines and improves the model's accuracy in understanding and responding to user input, particularly in ambiguous or complex situations.",Personal Assistant AI,Too costly to scale,Ended in beta,USA,2014,2015,2018,Failed,Direct,Assistive,Text,Unstructured,Stable,Medium,54,"Professional, Scientific, and Technical Services",Department,Moderate,0.2,,,,,,,,
Microsoft Cortana,AI voice assistant for Windows,AI Voice Assistants & Speech AI,ASR + NLP + Bing Integration,"The system combines Automatic Speech Recognition (ASR) to transcribe speech and Natural Language Processing (NLP) to understand the meaning behind it. Additionally, Bing’s search API is integrated to improve the system's ability to retrieve relevant information from the web, enhancing voice search capabilities for accurate, context-aware responses.",Consumer AI,Lagged competitors,Discontinued consumer version,USA,2013,2014,2021,Failed,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,Department,Low,20,,,,,,,,
Apple Face ID,AI facial recognition for phone unlock,AI Security & Surveillance,DNN for Face Recognition,"This system uses Deep Neural Networks (DNN) to identify and recognize faces from image data. The model learns distinctive facial features and compares them against a database of known faces. This technology is applied in security systems, phone unlock features, and surveillance systems to automate facial identification with high accuracy.",Security AI,Facial issues with twins/masks,Widely adopted,USA,2015,2017,2017,Successful,Auto,Automation,Image,Structured,Stable,High,56,Administrative and Support and Waste Management and Remediation Services,Multi-site-National,Very-High,250,,,,,,,,
Amazon Prime Air,AI drone delivery program,AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Slow and partial rollout,Limited drone ops,USA,2013,2013,2013,Successful,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Proof of Concept,Low,350,,,,,,,,
Lowe's Virtual Assistant,AI-powered in-store navigation assistant,AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Retail AI,Poor Q&A and navigation,Retired after pilot,USA,2014,2016,2018,Failed,Auto,Assistive,Text,Unstructured,Unstable,Low,44,Retail Trade,Enterprise,Moderate,0.1,,,,,,,,
Bank of America 'Erica',AI virtual banking assistant,AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Finance AI,Minor issues early on,10M+ users gained,USA,2016,2018,2018,Successful,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,52,Finance and Insurance,Enterprise,High,1.2,,,,,,,,
Samsung Bixby,AI voice assistant by Samsung,AI Voice Assistants & Speech AI,ASR + Deep Learning NLU,"This system uses Automatic Speech Recognition (ASR) for transcribing speech and Deep Learning-based Natural Language Understanding (NLU) to interpret the context of the transcriptions. The combination allows the system to understand and respond to spoken commands more effectively, used in virtual assistants for more accurate and meaningful interactions with users.",Consumer AI,Poor user interest,"Low usage, kept going",South Korea,2016,2017,2017,Successful,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,Department,Low,20,,,,,,,,
Spotify Recommender Engine,AI music recommendation system,AI Recommendation & Personalization,Deep Audio Embedding + CF,"This model uses deep learning techniques to create audio embeddings, capturing unique audio features, combined with Collaborative Filtering (CF) for personalized recommendations. By learning from user preferences and past listening history, the system suggests relevant music, podcasts, or audio content, widely used in music streaming and podcast services.",Media AI,Minor bubble concern,Massive engagement growth,Sweden,2012,2015,2015,Successful,Auto,Assistive,Audio+Numeric,Structured,Stable,High,51,Information,Enterprise,Moderate,52.5,,,,,,,,
IBM Watson Assistant,AI customer chatbot platform,AI Chatbots & Conversational AI,Intent Classifier + Entity Extractor,"This model applies Intent Classification to identify user intentions and Named Entity Recognition (NER) to extract key information such as dates, places, and actions from user queries. Combined, they provide a powerful system for understanding complex user inputs, common in virtual assistants and customer service chatbots.",Enterprise AI,Limited market uptake outside IBM clients,Modest enterprise success,USA,2016,2018,2018,Successful,Auto,Assistive,Text,Unstructured,Stable,Medium,54,"Professional, Scientific, and Technical Services",Enterprise,Moderate,0.2,,,,,,,,
Adobe Sensei Auto-Tagging,AI image tagging in Adobe apps,AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Image Recognition AI,Inaccurate tags sometimes,Generally improved speed,USA,2016,2017,2017,Successful,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Department,Low,100,,,,,,,,
