AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI News & Media,Topic Spike Detection,"Facebooks trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Education Technology,OCR + Clustering for Grading,This system uses Optical Character Recognition (OCR) to digitize handwritten or printed texts and applies clustering techniques to group similar responses for efficient grading. It is commonly used in educational settings to automate grading and streamline the evaluation process.,Content AI,Direct,Assistive,Image,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,100,Global
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Education Technology,OCR + Clustering for Grading,This system uses Optical Character Recognition (OCR) to digitize handwritten or printed texts and applies clustering techniques to group similar responses for efficient grading. It is commonly used in educational settings to automate grading and streamline the evaluation process.,Content AI,Direct,Assistive,Image,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,100,Department
AI Recruitment & HR,ML Resume Classifier,"The iTutorGroup hiring algorithm uses machine learning for resume classification. The model is trained to screen resumes and rank candidates based on skills, experience, and job relevance. However, the algorithm has faced criticism for age discrimination, as it was found to reject older applicants more frequently than younger ones.",HR AI,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Energy Management,Predictive Analytics Platform,"This AI platform employs predictive analytics to optimize operational efficiencies within the energy sector. It analyzes historical performance data and environmental conditions to predict energy consumption patterns, aiding in better resource allocation and cost management.",Energy AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,22,Utilities,Moderate,1,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Voice Assistants & Speech AI,Neural TTS Model,"Voiceverse NFT leverages a neural Text-to-Speech (TTS) model to generate high-quality synthetic voices for NFTs. It converts written text into expressive, human-like speech, which is then incorporated into digital content, allowing users to create personalized voice tokens for various applications.",Retail AI,Auto,Automation,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Retail AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,High,0.2,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Enterprise AI,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,100,Proof of Concept
AI Recruitment & HR,ML Resume Classifier,"The iTutorGroup hiring algorithm uses machine learning for resume classification. The model is trained to screen resumes and rank candidates based on skills, experience, and job relevance. However, the algorithm has faced criticism for age discrimination, as it was found to reject older applicants more frequently than younger ones.",HR AI,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Enterprise
AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Education Technology,Watson NLP Q&A Model,"This system uses Natural Language Processing (NLP) to build a question-answering model that understands and responds to user inquiries. The model is trained on large datasets of questions and answers, enabling it to provide contextually accurate and relevant responses in educational and support environments.",Content AI,Indirect,Assistive,Text,Unstructured,Stable,Medium,51,Software Publishers,Moderate,0.2,Department
AI Real Estate & Property Tech,Investment Property Prediction ML,"This system employs machine learning to forecast property values and identify the best investment opportunities in real estate markets. By analyzing market data and trends, the model provides insights into which properties are likely to appreciate in value, helping investors make informed decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,"This AI system uses machine learning to predict the maintenance needs of industrial machinery. By analyzing sensor data and historical failure patterns, the model forecasts when equipment is likely to fail, enabling proactive maintenance and reducing downtime in critical infrastructure and manufacturing processes.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Assistants,Intent Detection + Human-in-Loop,"This system uses Natural Language Processing (NLP) for intent detection, identifying the user's goal behind a query. The model is supplemented with human-in-the-loop processes, where human feedback continuously refines and improves the model's accuracy in understanding and responding to user input, particularly in ambiguous or complex situations.",Consumer AI,Direct,Assistive,Text,Unstructured,Stable,Medium,54,Retail Trade,High,0.2,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Real Estate & Property Tech,Investment Property Prediction ML,"This system employs machine learning to forecast property values and identify the best investment opportunities in real estate markets. By analyzing market data and trends, the model provides insights into which properties are likely to appreciate in value, helping investors make informed decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Recommendation & Personalization,LSTM Knowledge Prediction (Birdbrain),"This system uses Long Short-Term Memory (LSTM) networks for predicting knowledge retention and understanding in educational settings. LSTM is used to track student performance over time, making it capable of providing personalized recommendations and forecasting learning outcomes.",Retail AI,Auto,Assistive,Numeric,Structured,Stable,Medium,44,Retail Trade,High,1,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Proof of Concept
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Consumer AI,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,54,Retail Trade,High,1.2,Enterprise
AI General AI Application,Spare Parts Forecasting ML,"This system uses machine learning models to predict the demand for spare parts in manufacturing or supply chain environments. By analyzing historical consumption patterns and other influencing factors, the model helps ensure that inventory levels are optimized, minimizing stockouts and reducing excess inventory.",Automotive AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,336,Transportation Equipment Manufacturing,Very-High,1,Enterprise
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Proof of Concept
AI Recommendation & Personalization,Recommendation Engine,"This model applies collaborative filtering (CF) to build personalized recommendation systems. It uses user behavior and preferences to suggest products, services, or content that may interest an individual, improving user engagement and satisfaction. It's widely used in e-commerce, media streaming, and social networks for tailored content delivery.",Retail AI,Auto,Predictive,Numeric+Text,Semi-Structured,Semi-Stable,Medium,44,Retail Trade,High,1.2,Enterprise
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Department
AI Voice Assistants & Speech AI,Neural TTS Model,"Voiceverse NFT leverages a neural Text-to-Speech (TTS) model to generate high-quality synthetic voices for NFTs. It converts written text into expressive, human-like speech, which is then incorporated into digital content, allowing users to create personalized voice tokens for various applications.",Retail AI,Auto,Automation,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Data Annotation & Labeling,CNN + Relevance Ranking,"Googles image search algorithm uses CNNs for image recognition and relevance ranking for accurate search results. The model ranks images based on relevance to the search query, though it has faced criticism for biases in labeling and search results. The model is continually refined to reduce bias in image classifications.",Enterprise AI,Auto,Assistive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",High,250,Department
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Recommendation & Personalization,Recommendation Engine,"This model applies collaborative filtering (CF) to build personalized recommendation systems. It uses user behavior and preferences to suggest products, services, or content that may interest an individual, improving user engagement and satisfaction. It's widely used in e-commerce, media streaming, and social networks for tailored content delivery.",Retail AI,Auto,Predictive,Numeric+Text,Semi-Structured,Semi-Stable,Medium,44,Retail Trade,High,1.2,Enterprise
AI News & Media,Topic Spike Detection,"Facebooks trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Education Technology,OCR + Clustering for Grading,This system uses Optical Character Recognition (OCR) to digitize handwritten or printed texts and applies clustering techniques to group similar responses for efficient grading. It is commonly used in educational settings to automate grading and streamline the evaluation process.,Content AI,Direct,Assistive,Image,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,100,Enterprise
AI Manufacturing & Quality Control,Defect Detection + Process Optimization ML,"This model uses machine learning to detect defects and optimize manufacturing processes. By analyzing sensor data and product images, the system identifies defects early in production and adjusts the process to minimize waste, ensuring the production of high-quality goods. This is vital for industries where precision and quality are critical, such as aerospace or automotive manufacturing.",Manufacturing AI,Indirect,Automation,Image+Numeric,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,101,Global
AI Voice Assistants & Speech AI,ASR + NLP + Bing Integration,"The system combines Automatic Speech Recognition (ASR) to transcribe speech and Natural Language Processing (NLP) to understand the meaning behind it. Additionally, Bings search API is integrated to improve the system's ability to retrieve relevant information from the web, enhancing voice search capabilities for accurate, context-aware responses.",Retail AI,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
